1,2
baby,baby
stars,sky
farmers,hay
frog,frog
hair,hair
starfish,starfish
giraffe,giraffe
elephants,elephants
seals,seals
boat,boat
arena,monument
pebbles,eggs
ruins,ruins
monkey,monkey
flowers,bamboo
potatoes,potatoes
dock,dock
hippopotamus,cow
stag,deer
shirt,woman
children,children
women,women
fountain,fountain
seal,seal
duke,man
ballpit,child
man,man
penguins,penguins
tree,tree
decoration,statue
president,president
rocks,stones
firefighter,firefighter
fence,fence
frog,frog
temple,church
monkey,monkey
butterfly,flower
tree,tree
room,room
woman,woman
ruins,fort
lizard,chameleon
room,room
path,forest
rapids,waterfall
lizard,lizard
thorns,fungus
salad,food
boats,boats
river,riverside
clown,clown
leopard,cheetah
trees,lawn
woman,woman
bananas,bananas
bison,ox
flowers,flower
lake,lake
lizard,lizard
equestrian,polo
hill,mountain
man,man
goat,mouflon
water,water
river,river
zebra,zebra
bus,bus
lake,lakeside
leaves,leaves
bed,bedroom
street,city
houses,houses
altar,balcony
building,bells
pillars,sticks
sky,clouds
chimpanzee,monkey
grapes,pears
waves,waterfall
beach,dirt
bags,bags
cannon,cannon
couple,family
grating,honeycomb
bark,bark
fox,fox
stump,waterfall
family,family
flower,flower
lake,pond
lake,riverside
kiwi,kiwi
cherries,cherries
slugs,larvae
nuns,nuns
plane,plane
lizard,chameleon
unknown,underwater
log,swan
polarbear,bear
piano,room
apples,apples
orangutan,bear
beach,seashore
cherries,blackberries
lynx,wildcat
buildings,houses
statue,statue
woman,woman
bison,ox
pillars,monument
owls,snake
bay,island
beach,mountain
cucumber,watermelon
lizard,frog
bird,ox
leaves,leaf
opossum,bat
temple,greece
boat,boat
frog,frog
hiker,hiker
water,fish
woman,woman
woman,woman
tractor,tractor
horse,polo
scaffold,structure
clouds,clouds
woman,woman
woman,people
people,president
lighthouse,lighthouse
bed,bedroom
cheetah,cheetah
ruins,ruins
soccer,soccer
rug,floor
polarbear,bear
photographs,pictures
building,wall
fruits,market
painting,carpenter
trees,forest
beach,seashore
water,animal
rhino,hippopotamus
boat,dock
tents,tents
chipmunk,rat
people,family
pillar,roof
trees,forest
rhino,rhino
ibex,mouflan
stairs,stair
bouquet,flower
boat,gondola
building,palace
horse,horse
building,palace
buns,bread
oranges,oranges
giraffe,giraffe
bed,bed
children,children
fireplace,hall
man,person
table,dining hall
okras,okra
radishes,lotus
lake,forest
grapefruit,orage
fabric,shadow
table,hall
frog,frog
plaza,monument
clownfish,fish
frog,animal
lizard,lizard
temple,greece
beans,beans
buildings,greece
fruits,grapes
elephants,elephant
lake,lakeside
penguin,penguin
peak,sonic
peppers,peppers
swirls,design
bathroom,room
birds,birds
man,man
blackberries,raspberry
steps,stairs
bricks,wall
water,water
peppers,peppers
opossum,meerkat
river,lakeside
stoplight,signal
grass,bush
baboon,monkey
lemons,lemons
beach,farm
pond,river
wheat,bush
pillars,greece
gecko,snake
ladybug,ladybug
rhino,rhino
people,men
venice,venice
leopard,leopard
ridge,mountain
clocktower,church
plants,flowers
children,children
door,door
temple,greece
town,lake
pumpkins,pumpkins
wolf,dog
room,room
lions,lions
water,water
horse,horse
bulls,bulls
child,child
forest,riverside
chipmunk,hamster
chimpanzee,monkey
table,restaurant
castle,fort
cheetahs,leopards
statue,statue
lizard,lizard
trees,forest
mountainside,mountain
boats,boats
lizard,lizard
horse,horse
feathers,bark
crowd,stadium
boat,yacht
bed,bedroom
monkeys,monkeys
mushroom,mushroom
tower,tower
horizon,road
zebras,zebras
zebras,zebras
opossum,meerkat
hippopotamus,rhino
lake,lakeside
bark,bark
buildings,mountains
man,man
bedroom,room
leopard,jaguar
possum,meerkat
eagle,eagle
eagle,eagle
plane,plane
pillar,ceiling
fog,lakeside
man,eskimo
lake,mountain
rock,stone
grapes,grapes
mugs,mugs
building,palace
flags,garden
web,glass
lion,lion
leaves,leaves
mangoes,potato
bathroom,washroom
painting,painting
street,city
lizard,chameleon
bark,land
weasel,sea_lion
helicopter,helicopter
rope,rope
waterfall,waterfull
golf,golf
building,monument
people,family
pillars,greece
people,people
sails,yacht
snake,snake
buns,bread
eel,animal
pottery,pottery
beans,tomatoes
pillar,carving
bedroom,room
frog,frog
runner,runner
llama,horse
butter,sand
elephant,elephant
alpaca,llama
trees,park
statue,house
snake,snake
baseball,baseball
crowd,stadium
hiker,mountain
clearing,park
alpaca,animal
squirrel,squirrel
man,man
cheetah,leopard
elephant,elephant
opossums,meerket
man,man
soldiers,army
walkway,bridge
photographer,camera
penguins,penguins
orangutan,orangutan
statue,bridge
bricks,wall
ripples,web
polarbear,bear
ruins,ruins
fireplace,bookshelf
lake,mountain
forest,forest
dunes,leaf
honeycomb,honeycomb
potatoes,potatoes
dunes,dunes
treehouse,bannister
llama,animal
people,people
explosion,geyser
woman,woman
horse,horse
people,woman
monkey,monkey
room,hall
mountains,mountains
net,fence
lemons,oranges
leaves,leaves
orangutan,chimpanzee
pants,pants
tiger,tiger
people,people
street,mountain
farm,villa
woman,woman
plane,helicopter
arch,gate
women,woman
ladybugs,insects
beach,umbrella
building,house
woman,woman
flower,grass
woman,woman
bridge,bridge
shower,bathroom
crocodiles,crocodiles
crocodile,lizard
totems,faces
butterfly,insect
orangutan,unknown
chickpeas,beans
bathroom,room
man,man
melons,pavilions
archway,church
stalks,grass
lake,river
onions,squashes
bridge,bridge
temple,architecture
doors,gates
deer,deer
snacks,land
nuts,squash
statue,face
gourds,squashes
horizon,sea
horizon,river
shelves,unknown
capybara,mole
chair,chair
lake,river
children,kids
tortoise,tortoise
leaves,leaves
ibex,antelope
plaza,plaza
children,kids
bridge,church
archway,gate
people,soldiers
hillside,tree
cheetah,cheetah
bark,plant
pier,boat
woman,woman
field,field
guinea_pig,mole
field,sunflower
tree,tree
possum,monkey
station,subway
bridge,bridge
archway,gate
ripples,field
sea_lions,seals
llama,alpaca
building,tree
sewer,architecture
chipmunk,mole
chair,church
pillar,pillar
lizard,snake
woman,woman
boards,fence
baboon,chimpanzee
puppies,dogs
cargo,box
elephant,elephant
firewood,wood
ruins,wall
baboon,chimpanzee
lions,tiger
peas,grain
chipmunk,mole
woman,woman
possum,monkey
man,man
lake,river
bridge,bridge
field,lagoon
birds,birds
waterfall,waterfall
grass,tree
pillars,pillars
men,men
door,umbrella
lake,river
stairs,stairs
snow,unknown
skiier,man
person,man
macdonalds,mall
snake,snake
tree,tree
ginger,unknown
people,bicycles
deer,deer
crocodile,animal
buildings,buildings
grapes,fruits
monkey,chimpanzee
crowd,crowd
pillar,architecture
trees,trees
lake,river
polo,horse
penguins,clouds
stall,store
mushrooms,mushrooms
berries,plants
trunk,trunk
possum,racoon
houses,houses
leaf,leaf
pitcher,water
leaves,leaves
pillar,architecture
snake,snake
plums,unknown
longbeans,grass
street,architecture
shoes,shoes
statue,mouse
fish,animals
pillars,pillars
possum,unknown
house,house
dam,architecture
chairs,room
trees,tree
branches,tree
dome,ceiling
man,man
mountain,land
hiker,unknown
fish,bird
snowboarder,man
grass,grass
woman,woman
swirls,land
children,kid
wine,beer
table,gate
statue,sculpture
ocean,river
man,man
train,train
livingroom,room
deer,deer
tree,tree
flowers,flower
tiger,tiger
antelope,deer
capybaras,rhinoceroses
elephants,elephants
couple,couple
windmill,man
sweets,pumpkin
incense,boat
swing,kid
leopard,animal
bridge,bridge
onions,squashes
mountains,trees
rapids,land
penguin,penguin
droplets,leaf
penguin,penguin
tiger,tiger
table,room
mandarins,pumpkins
hillside,man
trees,trees
hut,architecture
river,river
field,fence
metal,wall
room,fence
castle,architecture
swimmer,man
elk,antelope
pyramid,pyramid
monkey,monkey
temple,architecture
tree,tree
elephants,elephants
mushroom,tree
pyramid,pyramid
decoration,wall
canoe,beach
guard,man
forest,forest
water,river
town,city
town,house
leopard,cat
leopard,cat
wolf,dog
building,house
trees,trees
roots,vegetables
building,house
room,room
buns,unknown
man,man
cows,cattle
couple,woman
bear,chimpanzee
macaroni,bowl
deer,cattle
horses,horses
bear,animal
crowd,church
man,car
pyramid,architecture
snake,snake
lake,ocean
people,llama
swans,ducks
rocks,rocks
waterfall,tree
snake,snake
runners,runners
flowers,plant
insect,insect
carrots,pills
fish,fish
rocks,rocks
fireworks,fireworks
tree_trunk,trees
kitchen,kitchen
guards,men
lynx,cheetah
man,man
bridge,bridge
subway,passage
bicycles,cars
leopard,lizard
rocks,rocks
chimpanzee,monkey
grass,flowers
field,grass
leaf,leaf
tiger,tiger
bridge,bridge
windows,pillars
path,road
tomatoes,tomatoes
snake,snake
men,men
room,room
bridge,bridge
bananas,fruits
horses,animals
horses,horses
pie,cloud
person,man
meerkat,animal
man,man
lake,river
statue,statue
llamas,llama
koala,monkey
monkey,monkey
iguana,chameleon
apples,apples
rapids,trees
man,man
pillar,pillar
plaza,building
lake,trees
geese,ducks
cheetahs,cheetahs
man,man
zebra,zebra
lynx,cat
clearing,trees
birds,birds
people,man
room,room
trees,trees
hummingbird,bird
beans,pebbles
people,people
man,man
lake,water
peanuts,beans
people,people
apples,apples
pigeons,birds
rock,fish
grass,tree
man,man
lion,lion
stairs,stairs
forest,trees
runners,men
stadium,stadium
unknown,texture
dog,monkey
rocks,rocks
leaves,leaves
archway,building
flowers,flowers
trees,trees
mountains,mountain
snow,clouds
cheetah,cheetah
room,room
monkey,monkey
trees,trees
panda,bear
monkey,monkey
feathers,river
horizon,ocean
snake,snake
diver,fish
guards,men
pebbles,rocks
mountains,mountains
railing,bridge
bear,beaver
plaza,building
woman,woman
rocks,garden
field,goats
coast,mountain
unknown,people
rocks,cliff
hallway,building
coast,island
town,buildings
elephant,elephant
fish,stingray
clouds,clouds
apples,fruit
cow,goat
mountains,lake
people,kids
ship,cruise
deer,deer
man,woman
building,church
vegetable,peas
tiles,pavement
people,president
road,highway
people,soldiers
tomato,tomatos
man,man
building,street
window,kitchen
truck,car
pear,fruit
bird,bird
room,living-room
penguin,penguin
wolf,wolf
turtle,turtle
ocean,unknown
cave,cave
bear,bear
texture,vegetable
peppers,fruit
statue,sculpture
ocean,island
kitchen,diningroom
room,livingroom
clouds,sky
celery,books
buildings,NewYork
bear,animal
cherry,cherry
boat,boat
man,kid
river,river
plant,building
island,city
graveyard,cemetary
clouds,pasture
peaches,fruit
man,man
monkey,primate
man,sculpture
building,church
ocean,lake
snorkel,diver
man,sculptor
people,people
texture,terrain
monkey,cats
river,lake
butterfly,unknown
mitosis,vegetable
pepper,bellpepper
tree,moose
ram,sheep
building,architecture
man,man
airplanes,jets
man,torso
door,door
gecko,reptile
cloud,sky
car,car
tools,tee
porch,balcony
cat,sausages
texture,unknown
river,creek
pillars,temple
bird,bird
motorcycle,riders
elephant,elephant
elephants,elephants
porcupine,plant
goar,cows
statues,scultptures
people,crowd
deer,animals
chipmunk,squirrel
lion,lion
raft,people
trees,trees
gecko,lizard
bridge,bridge
woman,woman
ram,bison
woman,woman
man,man
head,hairstyle
bear,bear
people,people
texture,unknown
water,cave
man,man
monkey,primate
monkey,monkey
cows,herd
animal,mongoose
waterfall,creek
horse,horseriding
child,girl
tiger,tiger
trees,neurons
chair,bench
owl,owl
man,man
trees,trail
mountain,lake
fibers,grass
road,road
boatman,boat
bird,penguin
jaguar,bear
road,road
door,gate
dome,architecture
solids,cup
elephants&humans,unknown
geese,animal
roof,architecture
fish,penguin
Hystricidae,hedgehog
fruits,kiwifruit
trees,trees
seeds,bean
mountain,mountain
gecko,fish
tower,tower
seagull,pigeon
grapes,grapes
Rhinoceros,rhinoceros
Santorini,castle
bars,window
monkeys,monkeys
city,architecture
cows,cattle
castle,castle
architecture,church
cleaner,man
monkeys,animal
vegetable,dish
cups,dish
pyramid,sky
water,river
snow,sea
textile,unknown
unknown,unknown
Chimpanzee,chimpanzee
bear,bear
fish,fish
livingroom,room
men,men
tower,lighthouse
deer,tree
plant,leaf
cloud,coral
buildings,church
man,man
soldier,soldier
deer,antelope
windmill,wall
terrain,land
unknown,unknown
pineapple,pineapple
Rhinoceros,rhinoceros
fireplace,room
man,man
road,road
girl,kid
building,windnow
people,wall
bathroom,bathroom
ocean,sea
forest,forest
car,car
carrots,vegetable
people,family
sky,sky
caterpillar,seahorse
city,city
rodent,bird
strawberries,strawberries
leaves,leaves
fish,unknown
penguin,penguin
tiger,tiger
swimmer,fish
bedroom,room
penguin,penguin
rocks,land
hotel,architecture
port,architecture
cab,car
livingroom,room
people,man
primates,chimpanzee
apples,apples
reptile,lizard
baboon,fish
tree,tree
lvingroom,room
seal,seal
sculpture,stadium
Chimpanzee,animal
bird,crane
pasture,hill
monks,monk
vegetable,squash
cameraman,cameraman
church,gate
rock,mountain
snake,snake
lake,forest
mountain,mountain
elephant,elephant
birds,bird
chimpanzees,chimpanzee
desert,land
grass,forest
men,man
vegetable,dish
snake,snake
river,river
people,man
house,lighthouse
calf,animal
kitchen,room
beach,beach
house,architecture
marble,bead
fireplace,room
windows,gate
stairs,floor
snow,animal
primate,monkey
animal,grass
horses,horses
ruins,sea
seeds,papaya
plaza,plaza
animal,monkey
river,river
ocean,forest
canal,bridge
creek,mountain
frog,frog
foxes,dog
mountains,mountains
flowers,flowers
church,house
dresser,room
skier,skier
castle,house
lake,river
river,river
soil,forest
horses,horses
person,man
toddler,kid
bird,bird
cheeta,cat
car,bus
stairs,stairs
grapes,grapes
textile,room
bears,bears
penguins,penguins
temple,architecture
deer,antelope
unknown,unknown
primate,monkey
snow,forest
tree,tree
mountains,mountains
firefighter,man
mountains,mountains
monkey,animal
girl,kid
cat,tiger
church,church
vase,stoneware
street,room
climbers,skier
rug,grass
fruits,apple
rocks,rocks
sheep,sheep
photographer,cameraman
hair,land
Egypt,pyramid
monkeys,field
corn,corn
lake,river
woman,woman
sky,sky
vegetable,vegetable
Harvard,architecture
Pyramid,pyramid
dome,church
wolves,wolf
hay,grass
waterfall,forest
people,woman
leaves,leaves
Lion,horse
aligator,lizard
Buddha,buddha
Elephant,elephant
tiger,tiger
Jet,airplane
diningroom,room
